Name	Cost	Levels
Analytics	0.5	3
Animal Empathy	0.5	3
Astral Perception	1	-
Attribute Boost	0.5	3
Berserk	1	-
Blind Fighting	0.5	-
Cloak	0.5	3
Combat Sense	0.5	3
Commanding Voice	0.25	-
Cool Resolve	0.5	3
Counterstrike	0.5	3
Critical Strike	0.25	3
Distance Strike	2	-
Eidetic Sense Memory	0.5	-
Elemental Strike	0.5	-
Empathic Sense	0.5	-
Enhanced Perception	0.25	3
Enthralling Performance	0.5	-
Facial Sculpt	0.5	3
Flexibility	0.5	3
Free Fall	0.5	3
Gliding	1	-
Great Leap	0.5	3
Improved Ability	0.25	3
Improved Physical Attribute	0.5	3
Improved Reflexes	1.5	3
Improved Sense	0.25	Infinity
Inertia Strike	0.5	-
Iron Gut	0.5	3
Iron Lungs	0.5	3
Iron Will	0.5	3
Killing Hands	0.5	-
Kinesics	0.5	3
Linguistics	0.25	-
Living Focus	1	-
Magic Sense	0.5	-
Melanin Control	0.5	-
Metabolic Control	0.5	-
Missile Mastery	1	-
Missile Parry	0.5	3
Motion Sense	0.5	-
Multi-Tasking	0.5	-
Mystic Armor	0.5	3
Natural Immunity	0.5	3
Nerve Strike	1	-
Nimble Fingers	0.25	-
Pain Relief	1	-
Pain Resistance	1	3
Penetrating Strike	0.25	3
Piercing Senses	0.5	3
Power Throw	0.25	3
Quick Draw	0.5	-
Rapid Healing	0.5	3
Rooting	0.25
Smashing Blow	1	-
Spell Resistance	1	3
Sustenance	0.25	-
Temperature Tolerance	0.5	3
Three-Dimensional Memory	0.5	-
Traceless Walk	1	-
Voice Control	0.5	-
Wall Running	1	-
